USB-500/600 Log File,
Name: CEF501shelf#13,
Model: USB-502-PLUS,
Serial Number: 10001330,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
101,2/3/2017 12:09:32 PM,26.5,53.0,16.1,
102,2/3/2017 12:39:32 PM,26.5,53.5,16.3,
103,2/3/2017 1:09:32 PM,26.5,53.5,16.3,
104,2/3/2017 1:39:32 PM,26.5,54.0,16.4,
105,2/3/2017 2:09:32 PM,26.5,53.0,16.1,
106,2/3/2017 2:39:32 PM,26.5,55.0,16.7,
107,2/3/2017 3:09:32 PM,26.0,56.0,16.5,
108,2/3/2017 3:39:32 PM,26.5,55.5,16.9,
109,2/3/2017 4:09:32 PM,26.5,55.0,16.7,
110,2/3/2017 4:39:32 PM,26.5,54.5,16.6,
111,2/3/2017 5:09:32 PM,26.5,55.5,16.9,
112,2/3/2017 5:39:32 PM,26.0,56.0,16.5,
113,2/3/2017 6:09:32 PM,26.5,55.0,16.7,
114,2/3/2017 6:39:32 PM,26.5,55.0,16.7,
115,2/3/2017 7:09:32 PM,26.0,55.0,16.3,
116,2/3/2017 7:39:32 PM,26.5,53.5,16.3,
117,2/3/2017 8:09:32 PM,26.5,53.0,16.1,
118,2/3/2017 8:39:32 PM,26.5,54.0,16.4,
119,2/3/2017 9:09:32 PM,26.5,54.0,16.4,
120,2/3/2017 9:39:32 PM,26.0,53.0,15.7,
121,2/3/2017 10:09:32 PM,23.5,62.0,15.8,
122,2/3/2017 10:39:32 PM,22.5,64.0,15.4,
123,2/3/2017 11:09:32 PM,22.5,62.0,14.9,
124,2/3/2017 11:39:32 PM,22.5,61.5,14.7,
125,2/4/2017 12:09:32 AM,22.5,61.5,14.7,
126,2/4/2017 12:39:32 AM,22.5,61.0,14.6,
127,2/4/2017 1:09:32 AM,22.5,61.0,14.6,
128,2/4/2017 1:39:32 AM,22.5,60.5,14.5,
129,2/4/2017 2:09:32 AM,22.5,60.5,14.5,
130,2/4/2017 2:39:32 AM,22.5,60.5,14.5,
131,2/4/2017 3:09:32 AM,22.5,60.5,14.5,
132,2/4/2017 3:39:32 AM,22.0,60.5,14.0,
133,2/4/2017 4:09:32 AM,22.0,60.5,14.0,
134,2/4/2017 4:39:32 AM,22.5,60.5,14.5,
135,2/4/2017 5:09:32 AM,22.5,60.5,14.5,
136,2/4/2017 5:39:32 AM,22.0,60.5,14.0,
137,2/4/2017 6:09:32 AM,24.0,57.0,15.0,
138,2/4/2017 6:39:32 AM,25.5,53.0,15.2,
139,2/4/2017 7:09:32 AM,25.5,53.5,15.4,
140,2/4/2017 7:39:32 AM,25.5,53.5,15.4,
141,2/4/2017 8:09:32 AM,26.0,53.5,15.8,
142,2/4/2017 8:39:32 AM,26.0,53.5,15.8,
143,2/4/2017 9:09:32 AM,26.0,53.5,15.8,
144,2/4/2017 9:39:32 AM,26.0,53.0,15.7,
145,2/4/2017 10:09:32 AM,26.0,53.5,15.8,
146,2/4/2017 10:39:32 AM,26.0,54.0,16.0,
147,2/4/2017 11:09:32 AM,26.0,54.5,16.1,
148,2/4/2017 11:39:32 AM,26.0,54.5,16.1,
149,2/4/2017 12:09:32 PM,26.0,54.5,16.1,
150,2/4/2017 12:39:32 PM,26.0,54.5,16.1,
151,2/4/2017 1:09:32 PM,26.0,54.0,16.0,
152,2/4/2017 1:39:32 PM,26.0,53.5,15.8,
153,2/4/2017 2:09:32 PM,26.0,54.0,16.0,
154,2/4/2017 2:39:32 PM,26.0,53.0,15.7,
155,2/4/2017 3:09:32 PM,26.0,53.0,15.7,
156,2/4/2017 3:39:32 PM,26.0,53.0,15.7,
157,2/4/2017 4:09:32 PM,26.0,51.5,15.2,
158,2/4/2017 4:39:32 PM,26.0,53.5,15.8,
159,2/4/2017 5:09:32 PM,26.0,53.5,15.8,
160,2/4/2017 5:39:32 PM,26.0,53.5,15.8,
161,2/4/2017 6:09:32 PM,26.0,53.0,15.7,
162,2/4/2017 6:39:32 PM,26.0,53.0,15.7,
163,2/4/2017 7:09:32 PM,26.0,52.5,15.5,
164,2/4/2017 7:39:32 PM,26.0,51.5,15.2,
165,2/4/2017 8:09:32 PM,26.0,51.0,15.1,
166,2/4/2017 8:39:32 PM,26.0,50.5,14.9,
167,2/4/2017 9:09:32 PM,26.0,50.5,14.9,
168,2/4/2017 9:39:32 PM,26.0,50.5,14.9,
169,2/4/2017 10:09:32 PM,23.5,55.5,14.1,
170,2/4/2017 10:39:32 PM,22.5,57.5,13.7,
171,2/4/2017 11:09:32 PM,22.5,57.0,13.6,
172,2/4/2017 11:39:32 PM,22.5,56.0,13.3,
173,2/5/2017 12:09:32 AM,22.5,56.0,13.3,
174,2/5/2017 12:39:32 AM,22.5,56.0,13.3,
175,2/5/2017 1:09:32 AM,22.5,56.0,13.3,
176,2/5/2017 1:39:32 AM,22.5,56.5,13.4,
177,2/5/2017 2:09:32 AM,22.5,56.0,13.3,
178,2/5/2017 2:39:32 AM,22.5,56.0,13.3,
179,2/5/2017 3:09:32 AM,22.5,56.0,13.3,
180,2/5/2017 3:39:32 AM,22.5,56.0,13.3,
181,2/5/2017 4:09:32 AM,22.0,56.0,12.8,
182,2/5/2017 4:39:32 AM,22.0,56.5,13.0,
183,2/5/2017 5:09:32 AM,22.0,56.5,13.0,
184,2/5/2017 5:39:32 AM,22.0,56.0,12.8,
185,2/5/2017 6:09:32 AM,24.0,52.5,13.7,
186,2/5/2017 6:39:32 AM,25.5,50.0,14.3,
187,2/5/2017 7:09:32 AM,26.0,49.5,14.6,
188,2/5/2017 7:39:32 AM,26.0,49.5,14.6,
189,2/5/2017 8:09:32 AM,26.0,49.5,14.6,
190,2/5/2017 8:39:32 AM,26.0,50.5,14.9,
191,2/5/2017 9:09:32 AM,26.0,50.5,14.9,
192,2/5/2017 9:39:32 AM,25.5,51.5,14.8,
193,2/5/2017 10:09:32 AM,26.0,51.0,15.1,
194,2/5/2017 10:39:32 AM,25.5,52.0,14.9,
195,2/5/2017 11:09:32 AM,25.5,52.0,14.9,
196,2/5/2017 11:39:32 AM,25.5,52.5,15.1,
197,2/5/2017 12:09:32 PM,25.5,52.5,15.1,
198,2/5/2017 12:39:32 PM,25.5,52.5,15.1,
199,2/5/2017 1:09:32 PM,25.5,52.5,15.1,
200,2/5/2017 1:39:32 PM,25.5,52.5,15.1,
201,2/5/2017 2:09:32 PM,25.5,52.5,15.1,
202,2/5/2017 2:39:32 PM,25.5,51.0,14.6,
203,2/5/2017 3:09:32 PM,25.5,52.0,14.9,
204,2/5/2017 3:39:32 PM,25.5,51.5,14.8,
205,2/5/2017 4:09:32 PM,25.5,52.0,14.9,
206,2/5/2017 4:39:32 PM,25.5,52.5,15.1,
207,2/5/2017 5:09:32 PM,25.5,52.5,15.1,
208,2/5/2017 5:39:32 PM,25.5,53.5,15.4,
209,2/5/2017 6:09:32 PM,25.5,53.5,15.4,
210,2/5/2017 6:39:32 PM,25.5,53.0,15.2,
211,2/5/2017 7:09:32 PM,25.5,53.0,15.2,
212,2/5/2017 7:39:32 PM,25.5,52.5,15.1,
213,2/5/2017 8:09:32 PM,25.5,52.5,15.1,
214,2/5/2017 8:39:32 PM,25.5,52.5,15.1,
215,2/5/2017 9:09:32 PM,25.5,53.5,15.4,
216,2/5/2017 9:39:32 PM,25.5,53.5,15.4,
217,2/5/2017 10:09:32 PM,23.5,58.5,14.9,
218,2/5/2017 10:39:32 PM,22.5,59.5,14.2,
219,2/5/2017 11:09:32 PM,22.5,58.0,13.8,
220,2/5/2017 11:39:32 PM,22.5,57.5,13.7,
221,2/6/2017 12:09:32 AM,22.5,57.0,13.6,
222,2/6/2017 12:39:32 AM,22.5,57.0,13.6,
223,2/6/2017 1:09:32 AM,22.5,57.0,13.6,
224,2/6/2017 1:39:32 AM,22.5,57.5,13.7,
225,2/6/2017 2:09:32 AM,22.0,57.5,13.2,
226,2/6/2017 2:39:32 AM,22.5,57.5,13.7,
227,2/6/2017 3:09:32 AM,22.0,57.5,13.2,
228,2/6/2017 3:39:32 AM,22.0,57.5,13.2,
229,2/6/2017 4:09:32 AM,22.0,58.0,13.4,
230,2/6/2017 4:39:32 AM,22.0,57.5,13.2,
231,2/6/2017 5:09:32 AM,22.0,58.0,13.4,
232,2/6/2017 5:39:32 AM,22.0,58.0,13.4,
233,2/6/2017 6:09:32 AM,24.0,54.5,14.3,
234,2/6/2017 6:39:32 AM,25.5,52.0,14.9,
235,2/6/2017 7:09:32 AM,25.0,53.0,14.8,
236,2/6/2017 7:39:32 AM,25.5,53.5,15.4,
237,2/6/2017 8:09:32 AM,25.0,53.5,14.9,
238,2/6/2017 8:39:32 AM,25.5,53.0,15.2,
239,2/6/2017 9:09:32 AM,25.5,53.5,15.4,
240,2/6/2017 9:39:32 AM,25.5,54.5,15.7,
241,2/6/2017 10:09:32 AM,25.5,54.0,15.5,
242,2/6/2017 10:39:32 AM,25.5,54.5,15.7,
243,2/6/2017 11:09:32 AM,25.5,55.0,15.8,
244,2/6/2017 11:39:32 AM,25.5,54.5,15.7,
245,2/6/2017 12:09:32 PM,25.5,54.5,15.7,
246,2/6/2017 12:39:32 PM,26.0,54.0,16.0,
247,2/6/2017 1:09:32 PM,26.0,54.5,16.1,
248,2/6/2017 1:39:32 PM,26.0,53.5,15.8,
249,2/6/2017 2:09:32 PM,26.0,55.0,16.3,
250,2/6/2017 2:39:32 PM,26.0,56.0,16.5,
251,2/6/2017 3:09:32 PM,26.0,55.5,16.4,
252,2/6/2017 3:39:32 PM,26.0,56.0,16.5,
253,2/6/2017 4:09:32 PM,26.0,55.5,16.4,
254,2/6/2017 4:39:32 PM,26.0,55.5,16.4,
255,2/6/2017 5:09:32 PM,26.0,55.5,16.4,
256,2/6/2017 5:39:32 PM,26.0,55.5,16.4,
257,2/6/2017 6:09:32 PM,26.0,55.5,16.4,
258,2/6/2017 6:39:32 PM,26.0,55.5,16.4,
259,2/6/2017 7:09:32 PM,26.0,56.0,16.5,
260,2/6/2017 7:39:32 PM,26.0,55.5,16.4,
261,2/6/2017 8:09:32 PM,26.0,54.5,16.1,
262,2/6/2017 8:39:32 PM,26.0,54.5,16.1,
263,2/6/2017 9:09:32 PM,26.0,54.5,16.1,
264,2/6/2017 9:39:32 PM,26.0,54.5,16.1,
265,2/6/2017 10:09:32 PM,23.5,65.0,16.5,
266,2/6/2017 10:39:32 PM,22.5,67.5,16.2,
267,2/6/2017 11:09:32 PM,22.5,64.0,15.4,
268,2/6/2017 11:39:32 PM,22.5,62.5,15.0,
269,2/7/2017 12:09:32 AM,22.5,62.0,14.9,
270,2/7/2017 12:39:32 AM,22.5,62.0,14.9,
271,2/7/2017 1:09:32 AM,22.5,61.5,14.7,
272,2/7/2017 1:39:32 AM,22.5,61.0,14.6,
273,2/7/2017 2:09:32 AM,22.5,61.0,14.6,
274,2/7/2017 2:39:32 AM,22.0,61.0,14.1,
275,2/7/2017 3:09:32 AM,22.0,61.0,14.1,
276,2/7/2017 3:39:32 AM,22.5,61.0,14.6,
277,2/7/2017 4:09:32 AM,22.0,61.0,14.1,
278,2/7/2017 4:39:32 AM,22.0,61.5,14.3,
279,2/7/2017 5:09:32 AM,22.0,61.5,14.3,
280,2/7/2017 5:39:32 AM,22.0,62.0,14.4,
281,2/7/2017 6:09:32 AM,24.5,57.5,15.6,
282,2/7/2017 6:39:32 AM,25.5,54.5,15.7,
283,2/7/2017 7:09:32 AM,25.5,55.5,15.9,
284,2/7/2017 7:39:32 AM,25.5,55.5,15.9,
285,2/7/2017 8:09:32 AM,26.0,55.5,16.4,
286,2/7/2017 8:39:32 AM,26.0,56.0,16.5,
287,2/7/2017 9:09:32 AM,26.0,57.0,16.8,
288,2/7/2017 9:39:32 AM,26.0,56.5,16.7,
289,2/7/2017 10:09:32 AM,26.0,56.5,16.7,
290,2/7/2017 10:39:32 AM,26.0,56.5,16.7,
291,2/7/2017 11:09:32 AM,26.0,56.5,16.7,
292,2/7/2017 11:39:32 AM,26.0,56.5,16.7,
293,2/7/2017 12:09:32 PM,26.0,56.5,16.7,
294,2/7/2017 12:39:32 PM,26.0,57.0,16.8,
295,2/7/2017 1:09:32 PM,26.0,57.0,16.8,
296,2/7/2017 1:39:32 PM,26.0,56.0,16.5,
